                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 90.847,                      0,                      0,                      0,                      0,                      0,                      0,                  25.54,                      0,                      0,                      0,                      0
                      2,                      0,                 90.611,                      0,                      0,                      0,                      0,                      0,                      0,                 25.567,                      0,             1.9604e-05,             1.9604e-05,             1.9604e-05
                      3,                      0,                 90.354,                      0,                      0,                      0,                      0,                      0,                      0,                 25.603,                      0,             3.8416e-05,             3.8416e-05,             3.8416e-05
                      4,                      0,                 89.666,                      0,                      0,                      0,                      0,                      0,                      0,                  25.64,                      0,             5.6436e-05,             5.6436e-05,             5.6436e-05
                      5,                      0,                  89.01,                      0,                      0,                      0,                      0,                      0,                      0,                 25.669,                      0,             7.3664e-05,             7.3664e-05,             7.3664e-05
                      6,                      0,                 88.355,                      0,                      0,                      0,                      0,                      0,                      0,                 25.683,                      0,               9.01e-05,               9.01e-05,               9.01e-05
                      7,                      0,                 87.998,                      0,                      0,                      0,                      0,                      0,                      0,                 25.689,                      0,             0.00010574,             0.00010574,             0.00010574
                      8,                      0,                 87.526,                      0,                      0,                      0,                      0,                      0,                      0,                   25.7,                      0,              0.0001206,              0.0001206,              0.0001206
                      9,                      0,                 87.106,                      0,                      0,                      0,                      0,                      0,                      0,                   25.7,                      0,             0.00013466,             0.00013466,             0.00013466
                     10,                      0,                  87.25,                      0,                      0,                      0,                      0,                      0,                      0,                  25.72,                      0,             0.00014792,             0.00014792,             0.00014792
                     11,                      0,                  86.41,                      0,                      0,                      0,                      0,                      0,                      0,                  25.72,                      0,              0.0001604,              0.0001604,              0.0001604
                     12,                      0,                 86.416,                      0,                      0,                      0,                      0,                      0,                      0,                 25.751,                      0,             0.00017208,             0.00017208,             0.00017208
                     13,                      0,                 85.783,                      0,                      0,                      0,                      0,                      0,                      0,                 25.751,                      0,             0.00018298,             0.00018298,             0.00018298
                     14,                      0,                 85.636,                      0,                      0,                      0,                      0,                      0,                      0,                 25.797,                      0,             0.00019308,             0.00019308,             0.00019308
                     15,                      0,                 84.947,                      0,                      0,                      0,                      0,                      0,                      0,                 25.797,                      0,             0.00020238,             0.00020238,             0.00020238
                     16,                      0,                 84.964,                      0,                      0,                      0,                      0,                      0,                      0,                 25.854,                      0,              0.0002109,              0.0002109,              0.0002109
                     17,                      0,                 83.908,                      0,                      0,                      0,                      0,                      0,                      0,                 25.854,                      0,             0.00021862,             0.00021862,             0.00021862
                     18,                      0,                  84.18,                      0,                      0,                      0,                      0,                      0,                      0,                 25.937,                      0,             0.00022556,             0.00022556,             0.00022556
                     19,                      0,                 82.803,                      0,                      0,                      0,                      0,                      0,                      0,                 25.937,                      0,              0.0002317,              0.0002317,              0.0002317
                     20,                      0,                 82.923,                      0,                      0,                      0,                      0,                      0,                      0,                 26.022,                      0,             0.00023704,             0.00023704,             0.00023704
                     21,                      0,                 81.898,                      0,                      0,                      0,                      0,                      0,                      0,                 26.022,                      0,              0.0002416,              0.0002416,              0.0002416
                     22,                      0,                 81.818,                      0,                      0,                      0,                      0,                      0,                      0,                 26.104,                      0,             0.00024536,             0.00024536,             0.00024536
                     23,                      0,                 80.618,                      0,                      0,                      0,                      0,                      0,                      0,                 26.104,                      0,             0.00024834,             0.00024834,             0.00024834
                     24,                      0,                 80.436,                      0,                      0,                      0,                      0,                      0,                      0,                 26.104,                      0,             0.00025052,             0.00025052,             0.00025052
                     25,                      0,                 80.633,                      0,                      0,                      0,                      0,                      0,                      0,                 26.124,                      0,              0.0002519,              0.0002519,              0.0002519
                     26,                      0,                  78.38,                      0,                      0,                      0,                      0,                      0,                      0,                 26.124,                      0,              0.0002525,              0.0002525,              0.0002525
                     27,                      0,                 78.883,                      0,                      0,                      0,                      0,                      0,                      0,                 26.124,                      0,              0.0002523,              0.0002523,              0.0002523
                     28,                      0,                 79.011,                      0,                      0,                      0,                      0,                      0,                      0,                 26.069,                      0,             0.00025132,             0.00025132,             0.00025132
                     29,                      0,                 77.275,                      0,                      0,                      0,                      0,                      0,                      0,                 26.069,                      0,             0.00024954,             0.00024954,             0.00024954
                     30,                      0,                 77.228,                      0,                      0,                      0,                      0,                      0,                      0,                 26.069,                      0,             0.00024696,             0.00024696,             0.00024696
                     31,                      0,                 77.325,                      0,                      0,                      0,                      0,                      0,                      0,                 25.933,                      0,              0.0002436,              0.0002436,              0.0002436
                     32,                      0,                 75.761,                      0,                      0,                      0,                      0,                      0,                      0,                 25.933,                      0,             0.00023944,             0.00023944,             0.00023944
                     33,                      0,                 75.456,                      0,                      0,                      0,                      0,                      0,                      0,                 25.933,                      0,              0.0002345,              0.0002345,              0.0002345
                     34,                      0,                 75.746,                      0,                      0,                      0,                      0,                      0,                      0,                 25.744,                      0,             0.00022876,             0.00022876,             0.00022876
